epoch,loss,lr,val-loss,train-plannerADE,train-plannerFDE,train-predictorADE,train-predictorFDE,val-plannerADE,val-plannerFDE,val-predictorADE,val-predictorFDE
1,14.032330746236054,0.0002,8.396694270884932,2.0912207373674363,5.416467557782712,2.7088560482154147,4.4295380599256875,1.4753065973088362,3.7805289876633794,1.3309843707199833,2.591412363420938
2,7.925640027304202,0.0002,6.96520783935768,1.364968323117293,3.5303820270847006,1.2610634012498718,2.483217182510717,1.1513581126208468,3.008296058949641,1.0567445314448813,2.1431361966662936
3,6.9966669370586745,0.0002,6.611820527320899,1.2106608073924474,3.109831116625652,1.0744119501056302,2.1881518637500523,1.2413793911680506,3.131489920731328,0.9544191919087212,2.062412824607702
4,6.5515537279239595,0.0002,6.000848272572393,1.126259540302166,2.882608575809405,0.990151227960264,2.043069680387847,0.9434983163064229,2.500654006925758,0.8537742512813513,1.8588108377180237
5,5.930740212472741,0.0001,5.654160340627034,0.9858986878596642,2.520484860536557,0.8773639327374058,1.848472632071822,0.9212643288183904,2.3626421033472256,0.7931486742508008,1.7584543827075314
6,5.747923305645081,0.0001,5.545889126505829,0.9507837475497941,2.4374993506837006,0.8456424741785308,1.7882356378767226,0.8886104583164344,2.2900826003816395,0.7736623022291396,1.7095059018204177
7,5.645090642182724,0.0001,5.520210355952166,0.9322762997542027,2.389272315922567,0.8276777625227896,1.7527270163026984,0.9168420436877559,2.3427295690573358,0.7678309526420446,1.6985202365451388
8,5.535516450946457,0.0001,5.322809739965171,0.9147421670132789,2.3462626962846027,0.8097963403676443,1.7198491243348606,0.8539032435071641,2.2540075156999673,0.7490834467077024,1.6429453840578236
9,5.274984172576867,5e-05,5.134246208817487,0.8621958905228094,2.2110082033463723,0.7666873684251941,1.6355987100497535,0.8267597167388253,2.1128108161659056,0.7102011174395464,1.5854196767300224
10,5.201790276356942,5e-05,5.125737604887589,0.8519387317884372,2.186888734643586,0.7543932072062424,1.6095863449688694,0.8166688931161079,2.147054784539817,0.704833966522401,1.5807816435173514
11,5.150454556308507,5e-05,5.123613021224017,0.8397598085196122,2.154190782331614,0.747002646399005,1.5946841887805774,0.8091186909859883,2.135150118726463,0.7105280823177762,1.5685046767267052
12,5.108109053206329,5e-05,5.041339305287974,0.8333065691921446,2.1353565110388586,0.7405235082774922,1.581071322378905,0.8050170722215072,2.0877901356001405,0.6937975146344318,1.5488601871158765
13,4.984745127567346,2.5e-05,4.9973302947150335,0.8102466336626938,2.0700140275816987,0.719394941692767,1.5384770414391578,0.7823955082663016,2.0431483978234626,0.6794991153449828,1.5300798174263774
14,4.951409878938095,2.5e-05,4.974312261682778,0.8017129326500179,2.054048361553662,0.7145191725469442,1.527611716357982,0.7920843981890286,2.0433604970646364,0.6816448243919778,1.535887725111367
15,4.926185805440525,2.5e-05,4.921630753411187,0.799765050555197,2.050600032443586,0.7103600494815532,1.5188630715660427,0.7760550204106575,2.015726902634625,0.6684219981161292,1.5083694780506374
